City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,panambi,-28.2925,-53.5017,301.94,66,62,1.93,BR,1705165128
179,sechura,-5.5569,-80.8222,301.98,58,14,3.31,PE,1705165129
180,hobyo,5.3505,48.5268,299.25,83,0,7.15,SO,1705165129
181,kulhudhuffushi,6.6221,73.07,301.23,73,80,5.87,MV,1705165129
182,polyarnyy,69.1989,33.4478,265.94,83,100,7.6,RU,1705165130
183,fortuna,40.5982,-124.1573,286.12,97,100,7.2,US,1705165130
184,port alfred,-33.5906,26.891,293.81,98,72,0.45,ZA,1705165130
185,pucheng,27.9233,118.5333,281.89,72,0,0.9,CN,1705165130
186,saint-philippe,-21.3585,55.7679,299.92,87,100,6.65,RE,1705165130
187,lorengau,-2.0226,147.2712,300.99,81,100,2.32,PG,1705165131
188,quellon,-43.1167,-73.6167,287.05,82,92,2.73,CL,1705165131
189,st. john's,47.5649,-52.7093,272.75,84,100,5.14,CA,1705164906
190,yelizovo,53.1873,158.3805,263.04,66,75,2.0,RU,1705165131
191,pasni,25.2631,63.471,295.94,69,27,5.74,PK,1705165131
192,khandyga,62.6667,135.6,232.24,99,93,0.93,RU,1705165131
193,boende,-0.2167,20.8667,304.41,37,99,0.88,CD,1705165132
194,muisne,0.6,-80.0333,300.04,81,63,3.26,EC,1705165132
195,saldanha,-33.0117,17.9442,299.18,92,60,4.95,ZA,1705165132
196,emerald,-23.5333,148.1667,295.56,81,9,3.77,AU,1705165132
197,nyurba,63.2842,118.3319,248.98,97,82,2.63,RU,1705165132
198,yeppoon,-23.1333,150.7333,298.03,86,34,5.75,AU,1705165132
199,pangody,65.85,74.4859,233.79,100,62,2.21,RU,1705165133
200,bairnsdale,-37.8333,147.6167,290.4,90,100,1.62,AU,1705165133
201,kapa'a,22.0752,-159.319,291.54,64,40,3.6,US,1705165133
202,nadym,65.5333,72.5167,236.65,99,79,3.34,RU,1705165133
203,la paz,-16.5,-68.15,292.36,40,75,4.12,BO,1705165133
204,mount gambier,-37.8333,140.7667,286.43,74,100,5.05,AU,1705165133
205,vila franca do campo,37.7167,-25.4333,291.42,99,98,7.85,PT,1705165133
206,wanning,18.8003,110.3967,294.98,81,82,2.97,CN,1705165134
